" ","ט1","","ט2","","י1","","","י2","","","י3","","","יא-יב","","","יא2","יא3","יב1","","יב2","","יב3",""
"8.30-9.15","אזרחות משה","","אזרחות משה","","חינוך פיננסי גיא פרטני אליאל- משה. שירלי- מאור וניתאי","","","מתמטיקה   נעמה  ","","","תנ""ך יואב. פרטני אליאל- אבישג","","","מספרה פעילה","","","8.30 אושר וליאת","","אושר: חדר מוסיקה                             בת שבע: חדר צהי                        חווה: חדר דורית","","","","",""
"9.15-9.50","אזרחות משה","","אנגלית מלי","","חינוך פיננסי גיא פרטני אליאל- משה. שירלי- מאור וניתאי","","","מתמטיקה   נעמה  ","","","תנ""ך יואב. פרטני אליאל- אבישג","","","יב- פרויקט עיצוב שיער עם אופירה / אושר","","","","","","","","","",""
"10.00-10.45","תנ""ך משה נועם שלום פרטני אליאל","","תנ""ך משה נועם שלום פרטני אליאל","","אנגלית מלי","","","חינוך תעבורתי  יוסי","","","חינוך פיננסי גיא.שירליאביגיל, מאיר","","","","","","","","","","","","",""
"10.55-11.40","היסטוריה אליאל","","חינוך פיננסי גיא","","חינוך תעבורתי מנו","","","אנגלית מלי","","","חינוך תעבורתי מנו","","","גיא וליאת","","","","","","","","","",""
"11.50-12.30","היסטוריה אליאל","","מתמטיקה   נעמה","","מתמטיקה   נעמה  ","","","עברית מירב","","","אנגלית מלי /","","","שחר פרטני עם שירלי 8 3 שעות","","","","","","","","","",""
"12.50-13.30","חינוך משה","","חינוך אושר","","מתמטיקה   נעמה  ","","","עברית מירב","","","אנגלית מלי /","","","","","","","","","","","","",""
"13.40-4.20","","","","","","","","","","","","","","","","","","","","","","","",""
"","   "," ","","","","","","","","","",""," ","","","","","","","","","","",""
"","","","","","","","","","","","","","","","   ","","","","","","","","",""
"","}","","","","","","","","","","","","","","","","","","","","","","",""
