שם,קטגוריה,אתר,טלפון,שגיאה
"מתי""א רן","ארגונים ועמותות","https: / edu-il.zoom.us / j / 87600671241 / http: / www.rn.edu1.org.il / BRPortal / br / P102.jsp?arc=2107156","","<urlopen error timed out>"
"OTI – ארגון אוטיסטים ישראל","ארגונים ועמותות","https://oti.org.il/zoom-bogrim-jan1/","","HTTP 404"
"עמותת אמנות רצף החיים","ארגונים ועמותות","http://retzef.org.il","","<urlopen error [Errno 11001] getaddrinfo failed>"
"ד""ר נחום טרספולסקי — אנדוקרינולוג ילדים","טיפולים ומטפלים","https://www.doctorim.co.il/doctor-13472/","","HTTP 404"
"ד""ר סילביה שטיגליץ","טיפולים ומטפלים","https://lp6.me/HoJXc_G5eUM","","HTTP 404"
"פסיעות — יחידה עירונית קהילתית להתפתחות הילד","טיפולים ומטפלים","Psiot@mam.matnasim.co.il","02-5905106","<urlopen error timed out>"
"תתקדמו — תוכנית לאומית לקידום אוטיסטים בצה""ל","שירותים לבוגרים","https: / www.mitgaisim.idf.il / http: / www.titkadmu.org","052-385-8067","HTTP 404"
"Safemeet (אפליקציית חברים)","שירותים לבוגרים","www.safemeet.co.il / https:","052-6995585 / 052-699-5585","<urlopen error [Errno 11001] getaddrinfo failed>"
"OTspace21+ — חוות שיקומית לאוטיסטים בוגרים","שירותים לבוגרים","https://www.treatment-ranch.com/about","","HTTP 404"
"אוטיזון (AutiZone) — אלו""ט","שירותים לבוגרים","https://alutcs.activetrail.biz/AutiZone","","HTTP 404"
"טובטק — בית טכנולוגי לאנשים עם מוגבלות","שירותים לבוגרים","https://tovtech.org/data-course/","","HTTP 404"
"פרויקט שווים בתעסוקה – מפעל הפיס","שירותים לבוגרים","https://bit.ly/3OnH508","","<urlopen error [Errno 11001] getaddrinfo failed>"
"נגישות ישראל","זכויות ורווחה","https://docs.google.com/forms/d/e/1FAIpQLSf0NPOd1UABt3HOfsVoAKITihsfN_m3nYf40f4_E8Yu6k8g1A/viewform","","HTTP 404"
"יחידה 105 - מטה לאומי להגנה על ילדים ברשת","זכויות ורווחה","https://www.105.gov.il","105 / 052-1210105 (WhatsApp)","<urlopen error [SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1081)>"
"מוקד הכוונה לאנשים עם מוגבלות (מוקד 8745*)","זכויות ורווחה","https://mokedamitim.org/","8745*","<urlopen error [Errno 11001] getaddrinfo failed>"
"נציבות שוויון זכויות לאנשים עם מוגבלות","זכויות ורווחה","Negishut.justice.gov.il","*6763","<urlopen error [SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1081)>"
"אוטיזון (AutiZone)","קייטנות ופנאי","https://alutcs.activetrail.biz/AutiZone","","HTTP 404"
"מרכז צעירים ירושלים","קייטנות ופנאי","https://www.coing.co/JLM_YC_Aktivizem/106625","","HTTP 404"
"HealthEi","ציוד ועזרים","https://www.healthei.co.il","","<urlopen error [Errno 11001] getaddrinfo failed>"
"מרכז רפאל – מוצר מסהלבת","ציוד ועזרים","https://merkaz-refael.co.il/product/meshalevet/","","The read operation timed out"
"טיפולים פרא-רפואיים — סל בריאות לאוטיזם","זכויות ורווחה","https://www.kolzchut.org.il/he/טיפולים_פרא-רפואיים_לילד_על_הרצף_האוטיסטי","דרך קופת חולים","HTTP 404"
"הנחת ארנונה לנכה","זכויות ורווחה","https://www.kolzchut.org.il/he/הנחה_בארנונה","דרך מחלקת הגבייה ברשות המקומית","HTTP 404"
"ייפוי כוח מתמשך לאוטיסטים בוגרים","זכויות ורווחה","https://www.kolzchut.org.il/he/ייפוי_כוח_מתמשך","*6763 / 055-6838798 (אפוטרופוס כללי)","HTTP 404"
"קליניקה לזכויות אנשים עם מוגבלויות — בר אילן","זכויות ורווחה","https://law.biu.ac.il/clinics/disability-rights","03-5318373","HTTP 404"
"מקדם תעסוקה — חוק לרון","זכויות ורווחה","https://www.btl.gov.il/benefits/Individual_Disability","*6050 (ביטוח לאומי)","HTTP 419"
"קצבת שירותים מיוחדים (נכות כללית 18+)","זכויות ורווחה","https://www.btl.gov.il/benefits/Special_Services","*6050 (ביטוח לאומי)","HTTP 419"
"ועדה רפואית לעררים — ביטוח לאומי","זכויות ורווחה","https://www.btl.gov.il/benefits/Appeal_Medical_Board","*6050","HTTP 419"
"חוק שירותי רווחה לאנשים עם מוגבלויות (2022)","זכויות ורווחה","https://www.nevo.co.il/law_html/Law01/500_855.htm","*8745","HTTP 404"
