שם,קטגוריה,תת-קטגוריה,אזור,גילאים,הקשר/ציטוט,מקור,טלפון_להוספה,אתר_להוספה
"עמותת גוונים","ארגונים ועמותות","דיור / תעסוקה ופנאי לאנשים עם מוגבלות / מכינה לחיים עצמאיים / דיור בקהילה","שדרות / מודיעין / רמת גן / ראשון לציון / ירושלים (זכו במכרז ירושלים)","18-30","המכינה לחיים העצמאיים — דרור — תכנית דיור בקהילה עבור צעירים על הרצף האוטיסטי בתפקוד גבוה. מופעלת על ידי עמותת גוונים. כיום 4 סניפים.","chunk_017:j:6453","",""
"קפה דניה","ארגונים ועמותות","מקום מפגש קהילתי / מפגשי הורים","בית הכרם / ירושלים / ירושלים — בית הכרם","מבוגרים (הורים) / הורים","המפגשים על כוס קפה בקפה דניה, נתנו ונותנים לי תחושה של יחד של שייכות.","chunk_011 m:38957; chunk_012 m:43040","",""
"אס""י - פעילי הקהילה האוטיסטית בישראל","ארגונים ועמותות","ארגון אוטיסטים עצמאי","ישראל","כל הגילאים","פעילה ב'מרוצפות - אוטיסטיות כותבות' וב'אס""י - פעילי הקהילה האוטיסטית בישראל'.","chunk_021:j:23747","",""
"אס""י — קהילת אנשי הספקטרום האוטיסטי בישראל","ארגונים ועמותות","קהילה עצמית של אוטיסטים","ישראל","","תודה לאוניברסיטת בן-גוריון בנגב, אס""י - פעילי הקהילה האוטיסטית בישראל, מרוצפות — על כנס מקצועי, עשיר, מלמד","chunk_018:j:11465","",""
"ג'וינט ישראל — מעבר למוגבלות","ארגונים ועמותות","ארגון בינלאומי","ירושלים ועוד","בוגרים","דירות שותפים בירושלים, בהם יגורו סטודנטים ממוסדות אקדמיים שונים בעיר, יחד עם אנשים עם מוגבלות","chunk_016:j:2006","",""
"גל צוובנר — מנהלת מרכזי אלו""ט למשפחה","ארגונים ועמותות","ניהול מרכז לאוטיזם","ישראל","כל הגילאים","ריאיון של ד""ר גילי תמיר עם גל צוובנר, מנהלת מרכזי אלו""ט למשפחה, על דרכים להתמודדות עם המצב הביטחוני.","m:25645","",""
"מרכז למשפחה — אלו""ט","ארגונים ועמותות","מרכז תמיכה למשפחות","ארצי","כל הגילאים","המרכז, אשר מעניק תמיכה ליווי וייעוץ לעשרות אלפי משפחות של ילדים ובוגרים על רצף האוטיזם בשנה, ייסגר החל מיום 01/02/24","chunk_009:m32706","",""
"עמותת Communication First","ארגונים ועמותות","עמותה בינלאומית","ארה""ב (מוזכרת בהקשר ישראלי)","","עמותת Communication First האמריקאית היא עמותה ללא מטרות רווח, שפועלת לקידום זכויותיהם של אנשים אשר משלל סיבות מתקשרים-ללא-דיבור","chunk_017:j:5817","",""
"עמותת אהב""ה","ארגונים ועמותות","הדרכות ומידע להורים","ישראל","","עמותת אהב""ה מקיימת הרצאה נוספת בנושא: אפוטרופסות מגיל 18 בהדרכת עו""ד אמנון פיארן","chunk_017:j:6769","",""
"עמותת קהילה (באלו""ט)","ארגונים ועמותות","פורום הורים בתוך אלו""ט","","all","אני קורא לכם להציג מועמדות להנהלת 'קהילה' באלו""ט. ייצוג של ילדים על רצף האוטיזם, כאלה שאינם מתגוררים בבתים לחיים של אלו""ט","m:15200","",""
