#,תאריך התחלה,תאריך סיום,יום,חודש,ממד,סוג אירוע,כותרת,אחראי,יעד,הכנה,עלות,הערות
1,2026-09-01,,יום ג',ספטמבר 2026,שייכות,שייכות / פתיחה,פתיחת שנה,הנהלה,"כל ביה""ס","מערך יום פתיחה, חלוקת מערכת שעות, היכרות",,
2,2026-09-07,,יום ב',ספטמבר 2026,שייכות,שייכות / פתיחה,"פתיחה לנושא ""שייכות""",מחנכת + יעקב,,"מערך שיעור פתיחה, כרטיסי היכרות, חוזה כיתה",,
3,2026-09-08,,יום ג',ספטמבר 2026,שייכות,פולס,פולס פתיחה — שייכות,מחנכת,,שאלון פולס שייכות — Google Forms,,תלמידים עונים + מחנכת רואה תוצאות
4,2026-09-09,,יום ד',ספטמבר 2026,שייכות,שייכות / פתיחה,קליטת כיתות,מחנכת + יועצת,,,,
5,2026-09-10,,יום ה',ספטמבר 2026,שייכות,לוח עברי / הפסקה פעילה,"הכנת לימוד — ר""ה",אופירה,,"הכנת חומרים לציון ר""ה: דבש, תפוח, ברכות",,
6,2026-10-05,,יום ב',אוקטובר 2026,שייכות,שייכות / פתיחה,חזרה מסוכות,מחנכת,,מעגל שיתוף: מה עשינו בחופש?,,
7,2026-10-06,,יום ג',אוקטובר 2026,שייכות,שייכות / פתיחה,שיעור שייכות — עבודת צוות,מחנכת,כל הכיתות,,,
8,2026-10-13,,יום ג',אוקטובר 2026,שייכות,כבוד / יום שיא,יום שיא שייכות,מחנכת + יעקב,,"מג'יק קאוס, פעילויות קבוצתיות, אוטובוס",תקציב הסעות,10:00–13:30
9,2026-10-15,,יום ה',אוקטובר 2026,שייכות,לוח עברי / הפסקה פעילה,הכנת לימוד — חשוון,אופירה,,"חומרי לימוד ר""ח חשוון",,
10,2026-10-19,,יום ב',אוקטובר 2026,שייכות,לוח עברי / הפסקה פעילה,הפסקה פעילה,אופירה,,,,
11,2026-10-22,,יום ה',אוקטובר 2026,שייכות,לוח עברי / הפסקה פעילה,"ר""ח חשוון",אופירה,,"ציון ר""ח, אוירה מיוחדת",,
12,2026-10-26,,יום ב',אוקטובר 2026,שייכות,פולס,פולס סגירה — שייכות,מחנכת,,שאלון סגירה — השוואה לפתיחה,,דשבורד: מחנכת + מיטל
13,2026-11-01,,יום א',נובמבר 2026,כבוד,כבוד / יום שיא,"פתיחה לנושא ""כבוד""",מחנכת + יעקב,,"מערכי שיעור כבוד, תקשורת אפקטיבית",,
14,2026-11-04,,יום ד',נובמבר 2026,כבוד,פולס,פולס פתיחה — כבוד,מחנכת,,שאלון פולס כבוד,,
15,2026-11-10,,יום ג',נובמבר 2026,כבוד,כבוד / יום שיא,שיעור כבוד — דיון,מחנכת,,,,
16,2026-11-14,,שבת,נובמבר 2026,כבוד,לוח עברי / הפסקה פעילה,הכנת לימוד — כסלו,אופירה,,,,
17,2026-11-17,,יום ג',נובמבר 2026,כבוד,לוח עברי / הפסקה פעילה,הפסקה פעילה,אופירה,,,,
18,2026-11-17,,יום ג',נובמבר 2026,כבוד,כבוד / יום שיא,יום שיא בית ספרי,כל הצוות,,אירוע מרכזי בית ספרי,תקציב אירוע,
19,2026-11-21,,שבת,נובמבר 2026,כבוד,לוח עברי / הפסקה פעילה,"ר""ח כסלו",אופירה,,,,
20,2026-11-24,,יום ג',נובמבר 2026,כבוד,כבוד / יום שיא,סדנת תקשורת,יעקב,,סדנת תקשורת אפקטיבית — עמדות וערכים,,
21,2026-12-01,2026-12-03,יום ג',דצמבר 2026,כבוד,אסיפת הורים,ערב הורים שליש א',מחנכת + יועצת,כל הכיתות,20:00 — הרצאת ערב להורים הכנה לט',,
22,2026-12-02,,יום ד',דצמבר 2026,כבוד,תעודות,תעודות שליש א',מחנכת + פדגוגית,,"סגירת ציונים, הערות מחנך",,
23,2026-12-07,,יום ב',דצמבר 2026,כבוד,כבוד / יום שיא,שיעור כבוד — סיכום,מחנכת,,,,
24,2026-12-08,,יום ג',דצמבר 2026,כבוד,כבוד / יום שיא,יום שיא כיתתי — כבוד,מחנכת + יעקב,כל כיתה בנפרד,"פעילויות תקשורת, יצירה, דיון",,
25,2026-12-13,,יום א',דצמבר 2026,כבוד,לוח עברי / הפסקה פעילה,הכנת לימוד — טבת,אופירה,,,,
26,2026-12-20,,יום א',דצמבר 2026,כבוד,לוח עברי / הפסקה פעילה,"ר""ח טבת",אופירה,,"ר""ח טבת — חנוכה, אור בחושך",,
27,2026-12-22,,יום ג',דצמבר 2026,כבוד,פולס,פולס סגירה — כבוד,מחנכת,,שאלון סגירה כבוד,,
28,2027-01-04,,יום ב',ינואר 2027,מוטיבציה פנימית,מוטיבציה פנימית,"פתיחה לנושא ""מוטיבציה פנימית""",מחנכת + יעקב,,,,
29,2027-01-06,,יום ד',ינואר 2027,מוטיבציה פנימית,פולס,פולס פתיחה — מוטיבציה,מחנכת,,,,
30,2027-01-11,,יום ב',ינואר 2027,מוטיבציה פנימית,מוטיבציה פנימית,שיעור מוטיבציה — מטרות,מחנכת,,גיבוש מטרות אישיות,,
31,2027-01-18,,יום ב',ינואר 2027,מוטיבציה פנימית,לוח עברי / הפסקה פעילה,הפסקה פעילה,אופירה,,,,
32,2027-01-21,,יום ה',ינואר 2027,מוטיבציה פנימית,לוח עברי / הפסקה פעילה,הכנת לימוד — שבט,אופירה,,"הכנת ט""ו בשבט",,
33,2027-01-29,,יום ו',ינואר 2027,מוטיבציה פנימית,לוח עברי / הפסקה פעילה,"ר""ח שבט",אופירה,,"ט""ו בשבט — פעילות טבע",,
34,2027-02-02,,יום ג',פברואר 2027,מוטיבציה פנימית,מוטיבציה פנימית,שיעור מוטיבציה — חוזה אישי,מחנכת,,,,
35,2027-02-09,,יום ג',פברואר 2027,מוטיבציה פנימית,כבוד / יום שיא,יום שיא כיתתי — מוטיבציה,מחנכת + יועצת,,יום חוויתי: חלומות ומטרות,,
36,2027-02-15,,יום ב',פברואר 2027,מוטיבציה פנימית,לוח עברי / הפסקה פעילה,הפסקה פעילה,אופירה,,,,
37,2027-02-15,,יום ב',פברואר 2027,מוטיבציה פנימית,לוח עברי / הפסקה פעילה,"ר""ח אדר א'",אופירה,,משנכנס אדר מרבים בשמחה,,
38,2027-02-22,,יום ב',פברואר 2027,מוטיבציה פנימית,פולס,פולס סגירה — מוטיבציה,מחנכת,,,,
39,2027-02-23,,יום ג',פברואר 2027,מוטיבציה פנימית,כבוד / יום שיא,יום שיא בית ספרי ב',כל הצוות,,אירוע מוטיבציה בית ספרי,,
40,2027-02-27,,שבת,פברואר 2027,מוטיבציה פנימית,לוח עברי / הפסקה פעילה,הכנת לימוד — פורים,אופירה,,"מגילה, משלוח מנות",,
41,2027-03-02,,יום ג',מרץ 2027,מסוגלות ומימוש עצמי,מסוגלות,"פתיחה לנושא ""מסוגלות""",מחנכת + יעקב,,,,
42,2027-03-08,,יום ב',מרץ 2027,מסוגלות ומימוש עצמי,לוח עברי / הפסקה פעילה,הפסקה פעילה,אופירה,,,,
43,2027-03-09,,יום ג',מרץ 2027,מסוגלות ומימוש עצמי,פולס,פולס פתיחה — מסוגלות,מחנכת,,,,
44,2027-03-15,,יום ב',מרץ 2027,מסוגלות ומימוש עצמי,מסוגלות,שיעור מסוגלות — הישגים,מחנכת,,פורטפוליו הישגים,,
45,2027-03-16,2027-03-20,יום ג',מרץ 2027,מסוגלות ומימוש עצמי,אסיפת הורים,ערב הורים שליש ב',מחנכת + יועצת,,,,
46,2027-03-17,,יום ד',מרץ 2027,מסוגלות ומימוש עצמי,לוח עברי / הפסקה פעילה,"ר""ח אדר ב'",אופירה,,,,
47,2027-03-18,,יום ה',מרץ 2027,מסוגלות ומימוש עצמי,תעודות,תעודות שליש ב',מחנכת + פדגוגית,,,,
48,2027-04-06,,יום ג',אפריל 2027,מסוגלות ומימוש עצמי,מסוגלות,שיעור מסוגלות — פרויקט,מחנכת,,,,
49,2027-04-07,,יום ד',אפריל 2027,מסוגלות ומימוש עצמי,כבוד / יום שיא,יום שיא כיתתי — מסוגלות,מחנכת + יועצת,,"הצגת פרויקטים, חגיגת הישגים",,
50,2027-04-10,,שבת,אפריל 2027,מסוגלות ומימוש עצמי,לוח עברי / הפסקה פעילה,הכנת לימוד — פסח,אופירה,,"הגדה, חרות, שחרור",,
51,2027-04-17,,שבת,אפריל 2027,מסוגלות ומימוש עצמי,לוח עברי / הפסקה פעילה,"ר""ח ניסן",אופירה,,,,
52,2027-04-27,,יום ג',אפריל 2027,מסוגלות ומימוש עצמי,פולס,פולס סגירה — מסוגלות,מחנכת,,,,
53,2027-05-03,,יום ב',מאי 2027,אוטונומיה,אוטונומיה,"פתיחה לנושא ""אוטונומיה""",מחנכת + יעקב,,,,
54,2027-05-04,,יום ג',מאי 2027,אוטונומיה,בגרות,בגרות עברית,כיתות יב,,,,בגרות עברית ליהודים
55,2027-05-05,,יום ד',מאי 2027,אוטונומיה,פולס,פולס פתיחה — אוטונומיה,מחנכת,,,,
56,2027-05-10,,יום ב',מאי 2027,אוטונומיה,לוח עברי / הפסקה פעילה,הכנת לימוד — שבועות,אופירה,,,,
57,2027-05-11,,יום ג',מאי 2027,אוטונומיה,בגרות,בגרות אזרחות,כיתות יב,,,,
58,2027-05-12,,יום ד',מאי 2027,אוטונומיה,בגרות,בגרות מתמטיקה,כיתות יב,,,,
59,2027-05-14,,יום ו',מאי 2027,אוטונומיה,בגרות,בגרות מתמטיקה (מועד 2),כיתות יב,,,,
60,2027-05-16,,יום א',מאי 2027,אוטונומיה,לוח עברי / הפסקה פעילה,"ר""ח אייר",אופירה,,,,
61,2027-05-17,,יום ב',מאי 2027,אוטונומיה,בגרות,בגרות אנגלית,כיתות יב,,,,
62,2027-05-18,,יום ג',מאי 2027,אוטונומיה,בגרות,בגרות אנגלית,כיתות יב,,,,
63,2027-05-18,,יום ג',מאי 2027,אוטונומיה,לוח עברי / הפסקה פעילה,הפסקה פעילה,אופירה,,,,
64,2027-05-20,,יום ה',מאי 2027,אוטונומיה,אוטונומיה,שיעור אוטונומיה — יוזמה,מחנכת,,,,
65,2027-05-24,,יום ב',מאי 2027,אוטונומיה,אוטונומיה,פרויקט יוזמה תלמידית,יעקב,,פרויקט יוזמה — תכנון ויישום,,
66,2027-05-25,,יום ג',מאי 2027,אוטונומיה,כבוד / יום שיא,יום שיא בית ספרי ג',כל הצוות,,אירוע סיום שנה,תקציב,
67,2027-05-31,,יום ב',מאי 2027,אוטונומיה,בגרות,בגרות היסטוריה,כיתות יב,,,,
68,2027-06-07,,יום ב',יוני 2027,אוטונומיה,בגרות,אזרחות (בגרות),כיתות יב,,,,
69,2027-06-08,,יום ג',יוני 2027,אוטונומיה,בחינת גמר,בחינת גמר — עיצוב שיער,מגמת עיצוב שיער,,,,רמה א' + ב'
70,2027-06-08,,יום ג',יוני 2027,אוטונומיה,כבוד / יום שיא,יום שיא כיתתי — אוטונומיה,מחנכת,,"סיכום שנה, פרידה",,
71,2027-06-09,,יום ד',יוני 2027,אוטונומיה,בחינת גמר,בחינת גמר — אוטוטרוניקה,מגמות טכניות,,,,אוטוטרוניקה + CNC
72,2027-06-09,,יום ד',יוני 2027,אוטונומיה,פולס,פולס סגירה — אוטונומיה,מחנכת,,שאלון סגירת שנה,,
73,2027-06-11,,יום ו',יוני 2027,אוטונומיה,בחינת גמר,בחינת גמר — אוטוטרוניקה מתקדמת,מגמות טכניות,,,,
