שם,קטגוריה,תת-קטגוריה,גילאים,אזור,טלפון,אתר,הקשר/ציטוט,מקור,תדירות אזכור
מדרשת הרובע,מסגרות חינוך,אולפנה דתית לאומית,12-18,"ירושלים, הרובע היהודי",,,נראה לי שמדרשת הרובע יכולה להתאים לסגנון [דתי לאומי אולפניסטי],m:9371,1
אולפנת גילה בית שמש (אורות עציון בנות),מסגרות חינוך,אולפנה דתית עם כיתת תקשורת,12-18,בית שמש,054-5597624,,"העברנו אותה לכיתת תקשורת באולפנת גילה בבית שמש... הצוות מקסים ומכיל ויודע מה הם עושים... נפתחת כיתת תקשורת לבנות עם ASD בבית שמש — אולפנה, חנה: 054-5597624",m:4875,1
אולפנת אוריה (אלון שבות),מסגרות חינוך,אולפנה דתית עם ניסיון לפתוח כיתת תקשורת / אולפנה לבנות,14-16 / תיכון,ליד אלון שבות / גוש עציון / אזור גוש עציון,0542279889,,באולפנת אוריה ליד אלון שבות מנסים לפתוח כיתה דו-שכבתית לבנות שיהיו בכיתה ט' ו י' שנה הבאה,m:15587,2
אוניברסיטת אריאל — תוכנית שילוב,מסגרות חינוך,אוניברסיטה עם תוכנית שילוב,18+,אריאל,,,האם למישהי יש טלפון של התוכנית שילוב באוניברסיטת אריאל?,chunk_009:m33939,1
בית ספר רננים — קרית שמונה,מסגרות חינוך,"בי""ס אזורי לחינוך מיוחד",6-21,קרית שמונה,04-6941539,https://www.madlan.co.il/education/school/220046,"בי""ס אזורי לחינוך מיוחד לקרית שמונה והגליל העליון. מוגבלות שכלית התפתחותית קלה-בינונית.",research:north-v2,1
בית חינוך מיוחד גלים — חדרה,מסגרות חינוך,"בי""ס חינוך מיוחד",6-21,חדרה,04-6332624,https://galimhadera.wixsite.com/galim,"בי""ס למוגבלות שכלית התפתחותית קלה-בינונית ומשכל גבולי. מבצע חורב 1, חדרה. יום מורחב עד 17:30.",research:north-v2,1
בית ספר נופים — עפולה,מסגרות חינוך,"בי""ס חינוך מיוחד",6-21,עפולה,04-6490624,https://sites.google.com/a/nofim.tzafonet.org.il/nofim/,"בי""ס לחינוך מיוחד בעפולה ברחוב האלה. מנהלת: מיכל כהן.",research:north-v2,1
בית ספר ניצנים — עכו,מסגרות חינוך,"בי""ס חינוך מיוחד",6-21,עכו,04-9911821,https://sites.google.com/a/nizanim.tzafonet.org.il/nizanim/home,"בי""ס לחינוך מיוחד למוגבלות שכלית בינונית-קשה. רב לופס 15, עכו. 96 תלמידים, 8 בכיתה.",research:north-v2,1
בית ספר נירים — חינוך מיוחד מעלה אדומים,מסגרות חינוך,"בי""ס חינוך מיוחד כוללני",6-15,מעלה אדומים,02-5902175,https://nirim.tik-tak.school/,"דרך הר הצופים 10. בי""ס חינוך מיוחד לכ-55 תלמידים עם הפרעות התנהגות ברקע רגשי, תקשורתי ונפשי — כולל תלמידים על הרצף שזקוקים למענה כוללני. כיתות א-ט.",research:judea-samaria,1
בית אורי — עפולה (חינוך מיוחד אוטיזם וסיעוד),מסגרות חינוך,"בי""ס חינוך מיוחד למוגבלויות מורכבות + אוטיזם",6-21,עפולה,04-6424686,https://www.allschool.co.il/מוסדות/220202/בית-אורי-עפולה,"בי""ס מיוחד לתלמידים עם מוגבלויות בינוניות-קשות, סיעוד מורכב ואוטיזם. הצוקית 4, עפולה.",research:north-v2,1
בית ספר גיל — חיפה,מסגרות חינוך,"בי""ס חינוך מיוחד למוגבלות שכלית התפתחותית",6-21,חיפה,04-8332266,http://gil.schooly.co.il/,"בי""ס לטיפול והכלת תלמידים עם מוגבלות שכלית התפתחותית. התשבי 34, חיפה. עד 7 תלמידים בכיתה. טיפולים פרא-רפואיים מקיפים.",research:north-v2,1
"בית ספר עופרים — לתלמידים על הרצף האוטיסטי, חיפה",מסגרות חינוך,"בי""ס יסודי יעודי לאוטיזם",6-13,חיפה,04-6871353,https://ofarim.edu-haifa.org.il/,"בי""ס יסודי על שם אמיר גרינבוך ז""ל לתלמידים עם אוטיזם. המלך דוד 29, חיפה. בשיתוף אלו""ט.",research:north-v2,1
בית ספר אופקים — חיפה (חינוך מיוחד ASD),מסגרות חינוך,"בי""ס יסודי לאוטיזם — נפתח 2024",6-13,חיפה,04-8370499,https://ofakimh.edu-haifa.org.il/,"בי""ס לחינוך מיוחד כוללני לתלמידים עם הפרעות תקשורת (ASD). הוקם אוגוסט 2024 עם 3 כיתות עד 8 תלמידים. דרך הים 44.",research:north-v2,1
"בית ספר עופר — לתלמידים על הרצף האוטיסטי, חיפה",מסגרות חינוך,"בי""ס יעודי לאוטיזם — תיכון",13-21,חיפה,04-8363352,https://ofer.edu-haifa.org.il/,"בי""ס שש-שנתי יעודי לאוטיזם בעיריית חיפה. דרך הים 198. מנהלת: סיגל לב.",research:north-v2,1
סולם — בית ספר לבנות ASD בני ברק,מסגרות חינוך,"בי""ס לבנות חרדיות בתפקוד גבוה",6-18,בני ברק,1599-550-440,https://www.sulam.net/בני-ברק/,"בי""ס לבנות חרדיות עם אבחנת ASD בתפקוד גבוה — מקצועי ושומר רמה רוחנית גבוהה, קידום תקשורת והכנה לעצמאות. אופציה לתלמידות מקהילות חרדיות ביו""ש.",research:judea-samaria,1
בית ספר אפיק — נהריה (תוך בית חולים גליל מערבי),מסגרות חינוך,"בי""ס למאושפזים פסיכיאטרית",6-18,נהריה,04-9107225,https://sites.google.com/a/afik.tzafonet.org.il/home,"בי""ס בתוך המחלקה הפסיכיאטרית בבי""ח גליל מערבי. 9 תלמידים בכיתה. מימון משרד הבריאות.",research:north-v2,1
בית ספר בית אקשטיין עציון — פרדס חנה,מסגרות חינוך,"בי""ס לקשיים רגשיים-התנהגותיים",6-21,פרדס חנה כרכור,04-6795325,https://b-e.org.il/,"בי""ס בית אקשטיין לקשיים רגשיים. 8 תלמידים בכיתה. ימים א-ה 8:00-16:00. טיפול בעלי חיים, פסיכיאטר ופסיכולוג.",research:north-v2,1
בית ספר גאולים,מסגרות חינוך,בית ספר,ילדים ונוער,ירושלים,,,האם משהי מכירה את בית ספר גאולים?,chunk_011 m:38707,1
בית ספר פלא,מסגרות חינוך,בית ספר,יסודי,ירושלים,,,הילד שלי לומד ב'פלא' ואני יכולה לענות לכל שאלה. אבל לפני שנתיים הפך להיות בית ספר אזורי — אז רלוונטי רק למי שגר קרוב.,"m:22407, m:22445",1
בית ספר אדם - ירושלים,מסגרות חינוך,בית ספר / בית ספר עם שילוב אישי,חטיבת ביניים / ילדים ומתבגרים,ירושלים,,,"קיבלתי המלצה על בית ספר אדם, לגבי השילוב האישי",chunk_014:m49746,2
בית ספר ענבר,מסגרות חינוך,בית ספר / חטיבת ביניים / בית ספר עם כיתות מיוחדות,ילדים ונוער / חטיבת ביניים,ירושלים,,,לא ממליצה על ענבר כבית ספר לילדות עם קשיים. כמה וכמה תלמידות שלי עם סוגים שונים של קשיים לא קיבלו שם מענה.,chunk_011 m:39947,3
תוכנית שתילים / כיתת תקשורת דקלים,מסגרות חינוך,בית ספר ASD,6-18,,,,ביתי לומדת בבית ספר דקלים בו לימד אותו פדופיל שאנס ילדים חוששת מאד שביתי נפגע ממנו בהתקפי חרדה קשים,m:18090,1
בית ספר שירת חנן,מסגרות חינוך,בית ספר בגוש,לא צוין,גוש עציון,,,בשירת חנן בגוש הייתה בת אחת בכיתת תקשורת,chunk_015:m:52646,1
בית ספר הרטמן בנים,מסגרות חינוך,בית ספר דתי ליברלי עם כיתת תקשורת,12-18,ירושלים,,,יש כיתת תקשורת מצוינת בהרטמן בנים. בית ספר דתי ליברלי מאוד,m:13184,1
