שם,קטגוריה,תת-קטגוריה,גילאים,אזור,טלפון,אתר,הקשר/ציטוט,מקור,תדירות אזכור
שירות לאומי,שירותים לבוגרים,שירות לאומי,15-18 / 18+ / 21+ / 3-6 / 6-13,ירושלים / מרכז / מודיעין,054-3307935 / *2026,http://bat-ami.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%A9%D7%99%D7%A8%D7%95%D7%AA-%D7%A0%D7%95%D7%A1%D7%A4%D7%99%D7%9D/%D7%9E%D7%A9%D7%9C%D7%91%D7%99%D7%9D/ / bat-ami.org.il,"הורים יקרים,  אנחנו שמחים לשתף אתכם בחוברת החדשה והמקיפה לשנת *2026*, שהופקה על־ידי *צוות המכון להתפתחות הילד בשיבא.*  החוברת ""יד ביד – המדריך השלם להורים שילדם אובחן"" נוצרה במיוחד כדי ללוות אתכם בתחילת הדרך ולספק מיד... ||| הורים יקרים,  אנחנו שמחים לשתף אתכם בחוברת החדשה והמקיפה לשנת *2026*, שהופקה על־ידי *צוות המכון להתפתחות הילד בשיבא.*  החוברת ""יד ביד – המדריך השלם להורים שילדם אובחן"" נוצרה במיוחד כדי ללוות אתכם בתחילת הדרך ולספק מיד...",m:49539,164
בוגרים על הרצף,שירותים לבוגרים,בוגרים,15-18 / 18+ / 21+,ירושלים / דרום / צפון,052-3285065 / 03-6703077,www.facebook.com / tov.org.il,קבוצת חוברים מגיעה לירושלים!!!!  אגף השירותיים החברתיים בעיריית ירושלים וקבוצת חוברים מזמינים אתכם נערים ובוגרים על הרצף האוטיסטי לקבוצה חברתית בירושלים.  שעות הפעילות: קבוצת נוער(גילאי 15-19): בין השעות 17:15-18:45. ... ||| קבוצת חוברים מגיעה לירושלים!!!!  אגף השירותיים החברתיים בעיריית ירושלים וקבוצת חוברים מזמינים אתכם נערים ובוגרים על הרצף האוטיסטי לקבוצה חברתית בירושלים.  שעות הפעילות: קבוצת נוער(גילאי 15-19): בין השעות 17:15-18:45. ...,m:11769,111
הוסטל,שירותים לבוגרים,הוסטל,15-18 / 18+ / 21+ / 3-6 / 6-13,מרכז / פסגת זאב / אפרת,050-6286976 / 052-4674466,https://telemview.telem-hit.net/product/4397 / www.facebook.com,"להרשמה להרצאה ולקבלת קישור ותזכורת: https://tinyurl.com/2sat4e7u  נושא ההרצאה: בשנים האחרונות מתרחש בעולם שינוי יסודי ביחסה של החברה לא.נשים עם מוגבלות. מגישה של חסד ופטרונות לגישה של זכויות אדם. גישה זו מיושמת בתחומי... ||| זוכרים את יעלי אלמכיאס? לפני מספר חודשים שיתפנו אתכם בסיפורה המרגש של יעלי בת ה28, צעירה אינטליגנטית, דעתנית, ברוכת כשרונות שגם מתמודדת עם אוטיזם. לפני 5 שנים יצאה מבית משפחתה עם מטרה אחת ברורה - לפתח יכולות וכישורים ...",j:987,86
רואים רחוק,שירותים לבוגרים,צבא - רואים רחוק,18+ / 21+,קרית אונו / מודיעין / מרכז,,www.roim-rachok.org / https://onoac-il.zoom.us/j/81657776982,"עמותות וארגונים בתחום אוטיזם שכדאי להכיר דרכן תוכלו לקבל מידע על זכויות, יעוץ משפטי, הכוונה, להגיע לקבוצות תמיכה ולמסגרות שמתאימות עבור ילדיכם, נופשונים,טיפולים רפואיים ופארארפואיים ועוד. כמו כן לפעמים ניתן לקבל דרך ח... ||| הנה מרוכז כל עמותות ההתנדבות לצבא  רואים רחוק https://www.roim-rachok.org/blank-3  עמותת חיבורים https://www.hiburim-effie.org.il/%D7%99%D7%A6%D7%99%D7%A8%D7%AA-%D7%A7%D7%A9%D7%A8/?fireglass_rsn=true#fireglass_params&...",m:3390,39
אקדמיה,שירותים לבוגרים,אקדמיה,15-18 / 18+ / 21+,ירושלים / מרכז / רמות,050-3055730 / 050-6527769,https://www.eventer.co.il/bznd7 / www.eventer.co.il,"*זה היום* ״מה שלומך?״ הפכה לשאלה מורכבת וכואבת בעקבות הטבח בשבעה באוקטובר. *האקדמיה משדרת* מארחת השבוע שלושה מומחים הפועלים שנים רבות להקל על מצוקה נפשית. נשוחח על הטראומה הלאומית, עומק המצוקה ומורכבותה והקושי לחשוב ע... ||| *הזמנה לאירוע ההתרמה לעמותת אמנות רצף החיים* ⏰ יום ראשון  | 3.11.2024  |  19:30  | 📌 נוקטורנו LIVE, בצלאל 7, ירושלים  🎼  *להקת ויסות חושי*: להקת הבית של העמותה-מוסיקאים על הרצף האוטיסטי שרים ומנגנים חוויות אישיות, לצד...",j:18841,31
"של""צ",שירותים לבוגרים,"של""צ",15-18 / 18+ / 21+,ירושלים / מרכז / יהוד,,www.facebook.com / https://www.facebook.com/ahaimgdolim/,"*מוזמנים להפיץ לעוד משפחות וחברים לקהילה שלנו* משפחות עם ילדים על הרצף האוטיסטי,אתם כבר לא לבד! אתם הורים אחרי אבחון טרי או כבר וותיקים במסע? כולכם מוזמנים להצטרף לקהילה שלנו, ילדים מכל הגילאים מכל התפקודים מכל המגזרי... ||| *מוזמנים להפיץ לעוד משפחות וחברים לקהילה שלנו* משפחות עם ילדים על הרצף האוטיסטי,אתם כבר לא לבד! אתם הורים אחרי אבחון טרי או כבר וותיקים במסע? כולכם מוזמנים להצטרף לקהילה שלנו, ילדים מכל הגילאים מכל התפקודים מכל המגזרי...",j:13456,27
תעסוקה נתמכת,שירותים לבוגרים,תעסוקה נתמכת,18+ / 21+,מרכז / גוש עציון / ירושלים,,https://invitedtojoin.us/04-05-2021/ / https://did.li/be6nip,"<המדיה לא נכללה> *קהילת המשפחות המיוחדות* יום שלישי 4.5.21 בשעה 21:00 בזום! *מס' המקומות מוגבל הבטיחו מקומכם.*  *מפגש עם:* חני לרמן מנהלת תוכנית תעסוקה נתמכת בעמותת ""רעות""  *נושא המפגש:* שילוב בתעסוקה בשוק החופשי- מיו... ||| קהילת המשפחות המיוחדות יום שלישי 4.5.21 בשעה 21:00 בזום! מס' המקומות מוגבל הבטיחו מקומכם.  מפגש עם: חני לרמן מנהלת תוכנית תעסוקה נתמכת בעמותת ""רעות""  נושא המפגש: שילוב בתעסוקה בשוק החופשי- מיועד להורים לילדים מעל גיל ...",m:6556,22
דיור נתמך,שירותים לבוגרים,דיור נתמך,21+ / 6-13,צפון / ירושלים / מרכז,054-2518566 / 052-6786238,cil.org.il / www.facebook.com,להרשמה להרצאה ולקבלת קישור ותזכורת: https://tinyurl.com/2sat4e7u  נושא ההרצאה: בשנים האחרונות מתרחש בעולם שינוי יסודי ביחסה של החברה לא.נשים עם מוגבלות. מגישה של חסד ופטרונות לגישה של זכויות אדם. גישה זו מיושמת בתחומי... ||| להרשמה להרצאה ולקבלת קישור ותזכורת: https://tinyurl.com/2sat4e7u  נושא ההרצאה: בשנים האחרונות מתרחש בעולם שינוי יסודי ביחסה של החברה לא.נשים עם מוגבלות. מגישה של חסד ופטרונות לגישה של זכויות אדם. גישה זו מיושמת בתחומי...,j:987,18
דיור מוגן,שירותים לבוגרים,דיור מוגן,18+ / 21+,גילה / ירושלים / רמות,052-4674466 / 054-4753922,www.facebook.com / https://www.facebook.com/503274483198404/posts/1744981445694362/,"*מה מחכה מעבר לפינה??*  להורי בוגרים עם צרכים מיוחדים, שלום - כשילדינו מסיימים הלימודים במערכת החינוך, מתחיל פרק חדש. מתחילים החיים עבורם כבוגרים. אין ספק שאחד הנושאים המשמעותיים בשלב הזה הוא מגורים מותאמים לצרכים, לר... ||| *מה מחכה מעבר לפינה??*  להורי בוגרים עם צרכים מיוחדים, שלום - כשילדינו מסיימים הלימודים במערכת החינוך, מתחיל פרק חדש. מתחילים החיים עבורם כבוגרים. אין ספק שאחד הנושאים המשמעותיים בשלב הזה הוא מגורים מותאמים לצרכים, לר...",m:11844,17
קהילה תומכת,שירותים לבוגרים,קהילה תומכת,21+,ירושלים / צפת / תלפיות,055-9654708 / 054-5705110,https://katzr.net/d6b085 / www.facebook.com,"האם אתם הורים  מאזור ירושלים, לבן בגילאי 24-30 שהוא גם וגם? גם מתמודד נפש וגם על הספקטרום האוטיסטי בתפקוד גבוה? עברתם איתו אתגרים וסרטים ועכשיו אתם מחפשים לו פתרון דיור עם מעטפת של ליווי ותמיכה?  מתארגנת קבוצה עצמאית ... ||| *קורס הגנה עצמית מעצימה לנשים אוטיסטיות*  בפעם הראשונה בישראל, קורס הגנה עצמית מעצימה המיועד לנשים* אוטיסטיות מעל גיל 18. אבחון רשמי איננו חובה.  הקורס הוא בן 10 שעות, יכלול חמש פגישות של שעתיים כל אחת, ויתקיים בימי ר...",j:22321,14
