שם,קטגוריה,תת-קטגוריה,גילאים,אזור,טלפון,אתר,הקשר/ציטוט,מקור,תדירות אזכור
Di-Store - חנות אביזרי ויסות חושי,ציוד ועזרים,אביזרי ויסות חושי וריפוי בעיסוק,ילדים ומבוגרים,ארצי,,,"מי שנרשמת מקבל קוד קופון לחנות די-סטור של שרון כץ, חנות של אביזרים לויסות חושי וריפוי בעיסוק",chunk_013:m45353,1
Choiceworks — ניהול שגרה ורגשות,ציוד ועזרים,אפליקציה,3+,אונליין,,https://www.beevisual.com,"אפליקציה ללוחות זמנים חזותיים, ניהול המתנה, וזיהוי רגשות. מתאימה ליצירת שגרות בוקר וערב, ומועילה בהפחתת עומס התרגשות סביב משימות יום-יומיות.",web-research: https://noamsystems.co.il/2025/10/15/,1
Kompanion – אפליקציית ניהול משימות,ציוד ועזרים,אפליקציה,כל הגילאים,אפליקציה (Google Play),,https://play.google.com/store/apps/details?id=com.kompanion.habit.android,"נתקלתי באפליקציה לניהול משימות, בתשלום, עושה רושם טוב למי שצריך תזכורות לביציע משימות... גם למי שיש הפרעות קשב",chunk_011 m:38779,1
Pictello — מחולל סיפורים חברתיים חזותי,ציוד ועזרים,אפליקציה,3+,אונליין,,https://www.assistiveware.com/products/pictello,"אפליקציה ליצירת סיפורים חברתיים חזותיים עם תמונות/וידאו וטקסט המוקרא בקול. כלי להכנה לשינויים, לטקסים בכיתה, ולבניית 'ספר אישי' לחיזוק שפה וזיכרון. מומלצת על ידי אנשי מקצוע רבים בישראל.",web-research: https://noamsystems.co.il/2025/10/15/,1
TypeIt — אפליקציית הקלדה ללמידה,ציוד ועזרים,אפליקציה,כל הגילאים,ארצי / אונליין,,https://www.typeit.online,"ההרשמה לפיילוט באפליקצית TypeIt ללימוד הקלדה החלה. מתאים לילדים ובוגרים שאינם יודעים לכתוב, בכל רמות התפקוד. 3 חודשים ללא תשלום.",m:23668,1
טאצ'אט (TouchChat) עברית — אפליקציית AAC,ציוד ועזרים,אפליקציה,כל הגילאים,אונליין,,https://touchchatapp.com/hebrew,"אפליקציית תקשורת תומכת וחלופית מובילה בעולם, עברה התאמה ייעודית לעברית על ידי צוות מט""ח. 8+ לוחות תקשורת ייעודיים לעברית וליהדות, עם יכולת להטות פעלים, שמות עצם ושמות תואר לפי מגדר, מספר וזמנים.",web-research: https://touchchatapp.com/hebrew,1
אוזיסטורי,ציוד ועזרים,אפליקציה / כלי AI,ילדים,אונליין,,https://ozzystory.com,אוזיסטורי הוא פרויקט שמסייע לצעירים על הרצף ללמוד על סיטואציות חדשות דרך סיפורים מותאמים אישית עם התמונות שלהם,chunk_009:m33219,1
Noora Health — צ'אטבוט תרגול מיומנויות חברתיות,ציוד ועזרים,אפליקציה חדשנית,נוער + מבוגרים,"דיגיטלי (מחקר בינ""ל)",,https://hai.stanford.edu/news/an-ai-social-coach-is-teaching-empathy-to-people-with-autism,צ'אטבוט מבוסס AI שעוזר לאוטיסטים לתרגל מיומנויות חברתיות ותגובות אמפתיות. פותח במחקר אקדמי. מחקר קליני מבוקר (RCT) פורסם ב-Journal of Autism 2025.,web-research: https://hai.stanford.edu/news/an-ai-social-coach-is-teaching-empathy-to-people-with-autism,1
TA'AL — אפליקציית AI לשילוב אוטיסטים בתעסוקה,ציוד ועזרים,אפליקציה חדשנית,18+,אונליין,,,"אפליקציה ישראלית חדשנית מבוססת AI שמטרתה לסייע בשילוב אוטיסטים בשוק העבודה. מתאימה משימות לפי יכולות העובד, מסייעת בהכוונה, בתיאום ציפיות ובתקשורת עם המעסיק.",web-research: https://portal.macam.ac.il/article/israeli-applications/,1
"פרויקט אלוטיץ' (Alutech) — אלו""ט",ציוד ועזרים,אפליקציה חדשנית,ילדים ונוער,ארצי,03-5718188,https://alut.org.il,"אפליקציה חדשה בפיתוח של אלו""ט המבוססת על פרוטוקול טיפולי פנימי של העמותה. שילוב 'אלו""ט' ו-'learning' באנגלית. בפיתוח 2024-2025.",web-research: https://www.israelhayom.co.il/tech/tech-news/article/18942268,1
Wysa – אפליקציית CBT ופסיכולוגיה חיובית,ציוד ועזרים,אפליקציה טיפולית,כל הגילאים,אונליין,,https://app.wysa.io/LSFf,"זו אפליקציה של CBT ופסיכולוגיה חיובית. יש בה פרוטוקולים של CBT... משמשת כאוזן קשבת וכפסיכולוג 24/7 ועונה לבן אדם, כמו חבר.ה טוב.ה.","chunk_020:j18730,j18731",1
יד שרה — סניף תל אביב,ציוד ועזרים,השאלת ציוד רפואי-שיקומי,all,תל אביב,*6444,https://yad-sarah.net/branches/,מרכז תצוגה והשאלת ציוד שיקומי. עזרים סנסוריים וציוד תקשורת לאנשים על הרצף.,research:center,1
יד שרה — סניף מודיעין,ציוד ועזרים,השאלת ציוד שיקומי,all,מודיעין,*6444,https://yad-sarah.net/branches/,סניף יד שרה במודיעין.,research:center,1
יד שרה — סניף נתניה,ציוד ועזרים,השאלת ציוד שיקומי,all,נתניה,*6444,https://yad-sarah.net/branches/,סניף יד שרה בנתניה.,research:center,1
יד שרה — סניף ראשון לציון,ציוד ועזרים,השאלת ציוד שיקומי,all,ראשון לציון,*6444,https://yad-sarah.net/branches/,סניף יד שרה בראשון לציון להשאלת ציוד עזר.,research:center,1
יד שרה — סניף רעננה,ציוד ועזרים,השאלת ציוד שיקומי,all,רעננה,*6444,https://yad-sarah.net/branches/,סניף יד שרה ברעננה. השאלת ציוד והדרכה.,research:center,1
Sirolynia - חנות משחקים,ציוד ועזרים,חנות משחקים,כל הגילאים,ארצי,,https://sirolynia.com/il,יש פה חנות שניתן להגיע אליה לרכוש משחקים ואף לשבת ולשחק שם,chunk_013:m45187,1
חנות אייזלר — ירושלים,ציוד ועזרים,חנות נעליים,ילדים,"ליד השוק, ירושלים",,,יש ליד השוק בירושלים חנות בשם אייזלר. כדאי לבוא עם הפניה,chunk_015:m:52826,1
מילבת — סניף בית איזי שפירא רעננה,ציוד ועזרים,טכנולוגיה מסייעת,all,רעננה,09-7701222,https://www.milbat.org.il/,סניף מילבת בבית איזי שפירא — ייעוץ ציוד עזר וטכנולוגיה מסייעת לאנשים על הרצף ולמשפחותיהם.,research:center,1
מילבת — סניף שיבא תל השומר,ציוד ועזרים,טכנולוגיה מסייעת ואדפטיבית,all,רמת גן — תל השומר,03-5302188,https://www.milbat.org.il/,"ייעוץ והתאמת ציוד אדפטיבי לילדים ובוגרים על הרצף — תקשורת חלופית, סנסורי, מסייע למשימות יומיומיות.",research:center,1
מודיל — מיטות מותאמות,ציוד ועזרים,יצרן מיטות מותאמות,כל הגילאים,,,,מאווווווד ממליצה על מודיל. מיטה מותאמת למשקלים גבוהים יש גם סולם וגם דיקט עבה... השירות נפלא והמחירים גם טובים,m:15265,1
Ozzystory - מחולל סיפורים חברתיים AI,ציוד ועזרים,כלי AI לילדים על הרצף,ילדים על הרצף,אונליין,,https://ozzystory.com,מעלה פה קישור לAI להכנת סיפורים חברתיים,chunk_014:m46035,1
בנק כפיר – רב קו לנכים,ציוד ועזרים,כרטיס נסיעה מוזל,כל הגילאים,ארצי,,,כדי לקבל הנחה של 50 אחוז כנכה צריך להציג בכפיר/רב קו תעודת נכה + תעודת זהות + ספח ואז הם משנים את הפרופיל בהתאם.,chunk_019:j15008,1
ליסה — מכון מדרסים בית שמש,ציוד ועזרים,מדרסים ואורתופדיה,ילדים ונוער,בית שמש,,,"ממליצה על מכון מדרסים בבית שמש של ליסה. א.אורתופדיה, היא לא מוכרת נעליים אלא מתאימה מדרסים",chunk_015:m:52825,1
מרכז רפאל – מוצר מסהלבת,ציוד ועזרים,מוצר טיפולי,ילדים,ארצי,,https://merkaz-refael.co.il/product/meshalevet,,chunk_012 m:42655,1
מזרני ירושלים / רהיטי אפריון,ציוד ועזרים,מזרנים ורהיטים,כל הגילאים,ירושלים,,,ממליצה על 'מזרני ירושלים' שנקראים גם 'רהיטי אפריון' ממש בין אלקטרוסליל ובין הכל לפנאי,m:15254,1
AngelSense,ציוד ועזרים,מכשיר מעקב GPS,ילדים,בינלאומי / ארצי / ישראל (שווק),,https://www.angelsense.com,מצויינים. אני יודעת שבעבר גם שווק בישראל,chunk_011 m:38733,2
